transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
1000087_xfmr_c,1,182020.3,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000087_xfmr_c,2,x_1000087.3,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000070_xfmr_b,1,182021.2,wye,7.19956121359083,100,1,0.004,-1,0,1.1,0.9,32
1000070_xfmr_b,2,x_1000070.2,wye,0.24,100,1,0.004,-1,0,1.1,0.9,32
1000071_xfmr_a,1,182022.1,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000071_xfmr_a,2,x_1000071.1,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000071_xfmr_b,1,182022.2,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000071_xfmr_b,2,x_1000071.2,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000071_xfmr_c,1,182022.3,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000071_xfmr_c,2,x_1000071.3,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000119_xfmr_b,1,182026.2,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000119_xfmr_b,2,x_1000119.2,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1002001_xfmr_abc,1,182027.1.2.3,delta,12.47,150,1,0.0051,-1,0,1.1,0.9,32
1002001_xfmr_abc,2,x_1002001.1.2.3,wye,0.208,150,1,0.0051,-1,0,1.1,0.9,32
1000330_xfmr_c,1,182153.3,wye,7.19956121359083,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000330_xfmr_c,2,x_1000330.3,wye,0.24,50,1,0.004500000000000001,-1,0,1.1,0.9,32
1000331_xfmr_a,1,182154.1,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000331_xfmr_a,2,x_1000331.1,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000331_xfmr_b,1,182154.2,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000331_xfmr_b,2,x_1000331.2,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000331_xfmr_c,1,182154.3,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000331_xfmr_c,2,x_1000331.3,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000277_xfmr_c,1,182155.3,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000277_xfmr_c,2,x_1000277.3,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
